Generation,Indiv,Father,Mother,gvNormUnres1,EBV
1,42,0,0,-0.243881821,-0.193372358089652
1,43,0,0,0.4207844069,0.29688652780496
1,44,0,0,0.1938430037,0.711326882735908
1,45,0,0,-0.2623200868,-0.306317538572371
1,46,0,0,-1.0302928601,-0.859143048533883
1,47,0,0,-0.1361171457,0.151652433915464
1,48,0,0,0.4255011237,0.248789974621373
1,49,0,0,-0.321846649,-1.37265977341343
1,50,0,0,0.1422498285,0.172006947886825
1,51,0,0,-0.3942765532,-0.439476036956077
1,52,0,0,-0.3308826169,-0.821666087718211
1,53,0,0,0.8623751231,0.996149371222968
1,54,0,0,0.6053381706,0.313201246636519
1,55,0,0,-0.4761694893,0.0633633958989765
1,56,0,0,0.1158374453,-0.0750030847095258
1,57,0,0,-1.8013884476,-1.31592630664751
1,58,0,0,-0.054842573,0.100049680138438
1,59,0,0,-0.6805698904,-0.0115583755612955
1,60,0,0,0.5935763726,0.613549689287169
1,61,0,0,0.7757400284,1.00100878267217
1,62,0,0,0.2500091854,0.155979114587239
1,63,0,0,0.2009460555,-0.11758528710908
1,64,0,0,0.6290053471,0.382698950142172
1,65,0,0,1.2336383632,1.60973556837711
1,66,0,0,0.4823526188,-0.182354515281148
1,67,0,0,0.152295735,-0.578957670254868
1,68,0,0,-0.8578834344,-1.15253245392324
1,69,0,0,0.2434129809,1.12849633792873
1,70,0,0,0.0973829285,0.942059005876313
1,71,0,0,0.1686273735,-0.206260223140694
1,72,0,0,-0.2657891541,0.0301631628475429
1,73,0,0,1.3103962586,0.477474001940279
1,74,0,0,-0.2444631535,0.203673125206435
1,75,0,0,-0.7145255297,-1.32088087034906
1,76,0,0,-0.959080572,-0.703752754706613
1,77,0,0,0.2169977153,0.68902949944967
1,78,0,0,-1.2817782309,-0.817690918215543
1,79,0,0,0.4909664836,-0.0758752851600558
1,80,0,0,-0.9606362011,-1.38216322548363
1,81,0,0,0.3186018976,-0.451649290386993
1,82,0,0,-0.5541649011,-0.745047156681496
1,83,0,0,0.4294688936,-0.12159642962496
1,84,0,0,0.6585536478,-0.0972002275367507
1,85,0,0,0.4982972099,1.36414025730612
1,86,0,0,-0.2709751446,-0.587960700172718
1,87,0,0,-0.409743434,-0.341503189892371
1,88,0,0,0.3519696275,0.650828715678732
1,89,0,0,1.1332279649,1.11706650851048
1,90,0,0,0.6023652624,0.639095028042194
1,91,0,0,0.281697819,0.228722743288197
1,92,0,0,0.2842548643,0.365896617840686
1,93,0,0,0.1865144283,0.26641006308113
1,94,0,0,-0.6158959184,-0.282390253844551
1,95,0,0,0.7249470659,1.07550910627883
1,96,0,0,0.3997248951,-0.108299261366897
1,97,0,0,-1.7458166567,-1.76643911171526
1,98,0,0,-0.5683691886,0.122644835020526
1,99,0,0,-0.0192248379,0.499857725474812
1,100,0,0,-0.4292056395,0.28258169325793
1,101,0,0,0.1644229134,1.06722089215519
1,102,0,0,0.1013886477,-0.213391797131444
1,103,0,0,0.5358636068,0.200936729170238
1,104,0,0,-1.0406254086,-1.49288615260145
1,105,0,0,0.235049188,-0.0811310197873997
1,106,0,0,1.0338553567,1.41779627103242
1,107,0,0,0.4197705943,-0.786337275420989
1,108,0,0,-0.1626482715,0.33510229541069
1,109,0,0,0.2317958892,0.326155614734209
1,110,0,0,0.7669674874,0.255556336268463
1,111,0,0,-0.0723330943,-0.503648893327859
1,112,0,0,-1.2694522075,-0.908949323784919
1,113,0,0,-0.3763637244,0.770927521854218
1,114,0,0,0.001507083,-0.486355731659603
1,115,0,0,-0.5219971165,0.22107023390075
1,116,0,0,0.3963884143,0.940029177121509
1,117,0,0,0.3905511658,0.194248114073684
