Generation     Indiv    Father    Mother       bvNormUnres1        bvNormRestr1       ddNormUnres1        ddNormRestr1       gvNormUnres1        gvNormRestr1       phenoNormUnres1     phenoNormRestr1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
         1         1         0         0       -0.8503825825        0.0691041510        0.0000000000        0.0000000000       -0.8503825825        0.0691041510       -3.6070211149        1.4974120437
         1         2         0         0        1.7898040418        0.6798410432        0.0000000000        0.0000000000        1.7898040418        0.6798410432        4.2371423855        1.4914576849
         1         3         0         0       -2.0685715353        0.7255394980        0.0000000000        0.0000000000       -2.0685715353        0.7255394980       -2.3759045906        0.4941068612
         1         4         0         0        0.5587885061        0.6398243418        0.0000000000        0.0000000000        0.5587885061        0.6398243418        0.0425072933        0.0820997620
         1         5         0         0        1.0457515371       -0.1624026357        0.0000000000        0.0000000000        1.0457515371       -0.1624026357       -0.3652913081       -0.1516518558
         1         6         0         0        0.1624929690        0.1470358449        0.0000000000        0.0000000000        0.1624929690        0.1470358449        0.8566705604        0.8653047992
         1         7         0         0       -0.6485779783        0.7904818385        0.0000000000        0.0000000000       -0.6485779783        0.7904818385       -0.3714194529        0.3306123259
         1         8         0         0       -0.7532339649        0.1057070316        0.0000000000        0.0000000000       -0.7532339649        0.1057070316       -0.9814335107       -1.2703031881
         1         9         0         0       -0.6480685408        0.1866785539        0.0000000000        0.0000000000       -0.6480685408        0.1866785539       -0.0090673762       -0.7872434182
         1        10         0         0       -0.3898498693       -0.2911952778        0.0000000000        0.0000000000       -0.3898498693       -0.2911952778        0.2592216046       -1.6349176784
         1        11         0         0        1.2015815399       -0.4798726818        0.0000000000        0.0000000000        1.2015815399       -0.4798726818        0.2123701920        0.2142957134
         1        12         0         0        0.0816466666        0.0134922385        0.0000000000        0.0000000000        0.0816466666        0.0134922385        0.2726149506       -0.9242419969
         1        13         0         0       -0.9449382218        1.0903985888        0.0000000000        0.0000000000       -0.9449382218        1.0903985888       -0.6073577107        0.5527359010
         1        14         0         0       -0.6616412730        0.5754521568        0.0000000000        0.0000000000       -0.6616412730        0.5754521568        1.6039440729       -0.1755934197
         1        15         0         0       -1.1579342697       -0.1964747041        0.0000000000        0.0000000000       -1.1579342697       -0.1964747041       -1.9399349315        0.7935052694
         1        16         0         0       -0.2655702697        0.5879649117        0.0000000000        0.0000000000       -0.2655702697        0.5879649117       -1.0493621587        0.2338786338
         1        17         0         0       -1.8746512970        0.6121634783        0.0000000000        0.0000000000       -1.8746512970        0.6121634783       -1.9791546019        0.8460561984
         1        18         0         0       -1.3356072000       -0.3131861699        0.0000000000        0.0000000000       -1.3356072000       -0.3131861699       -2.6132712686       -1.1811899744
         1        19         0         0       -0.6400271313       -0.0364732478        0.0000000000        0.0000000000       -0.6400271313       -0.0364732478       -1.5930604491       -0.5328532042
         1        20         0         0       -1.3474960278       -0.0484302932        0.0000000000        0.0000000000       -1.3474960278       -0.0484302932       -1.2035022464        0.8401862638
