Generation     Indiv    Father    Mother       bvNormUnres1        bvNormRestr1       ddNormUnres1        ddNormRestr1       gvNormUnres1        gvNormRestr1       phenoNormUnres1     phenoNormRestr1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
         1         1         0         0        0.1778326297       -0.0229210057        0.0000000000        0.0000000000        0.1778326297       -0.0229210057       -0.6562317176       -0.2153564662
         1         2         0         0       -0.3250733759       -0.7610846600        0.0000000000        0.0000000000       -0.3250733759       -0.7610846600       -1.6016432455       -1.8382070361
         1         3         0         0       -0.1691429480       -0.3688476383        0.0000000000        0.0000000000       -0.1691429480       -0.3688476383        0.1038723367        1.5872765525
         1         4         0         0       -0.5883623255        0.3386057457        0.0000000000        0.0000000000       -0.5883623255        0.3386057457        0.4203592951        0.3035283932
         1         5         0         0        0.5187940118       -0.3021012793        0.0000000000        0.0000000000        0.5187940118       -0.3021012793       -0.7002800596       -0.8524223579
         1         6         0         0        1.3921664127       -0.5456276056        0.0000000000        0.0000000000        1.3921664127       -0.5456276056        0.9491101445       -1.5210165229
         1         7         0         0       -0.0647001991        0.7427629481        0.0000000000        0.0000000000       -0.0647001991        0.7427629481        0.4005078959        2.1854950244
         1         8         0         0       -0.4276386968        0.0035453502        0.0000000000        0.0000000000       -0.4276386968        0.0035453502        0.5028849863       -0.5461286987
         1         9         0         0       -0.9702235466        0.8667429739        0.0000000000        0.0000000000       -0.9702235466        0.8667429739       -1.0807193477        1.4774046789
         1        10         0         0       -0.3935640749        0.7197880062        0.0000000000        0.0000000000       -0.3935640749        0.7197880062       -1.2483144816        0.7666816121
         1        11         0         0       -0.6325277371       -0.7337083657        0.0000000000        0.0000000000       -0.6325277371       -0.7337083657       -0.2800511857       -0.4930894632
         1        12         0         0       -0.3632170339        0.7400790208        0.0000000000        0.0000000000       -0.3632170339        0.7400790208       -0.4115539973        0.3799727435
         1        13         0         0       -0.1734825927       -0.2590955157        0.0000000000        0.0000000000       -0.1734825927       -0.2590955157       -1.0332461318       -0.1250599499
         1        14         0         0        0.5151010864        0.4886812011        0.0000000000        0.0000000000        0.5151010864        0.4886812011        0.2832029325        0.2158488025
         1        15         0         0        0.6614569593       -0.9707149374        0.0000000000        0.0000000000        0.6614569593       -0.9707149374        2.2067910935       -1.2408872404
         1        16         0         0        0.3064495606       -0.7644637123        0.0000000000        0.0000000000        0.3064495606       -0.7644637123        0.4896267639       -1.5878641665
         1        17         0         0        0.2384668044       -0.4168213760        0.0000000000        0.0000000000        0.2384668044       -0.4168213760        0.8659507124        0.8270346103
         1        18         0         0       -0.0879256259       -0.4787625280        0.0000000000        0.0000000000       -0.0879256259       -0.4787625280        0.3619688291       -0.3022805979
         1        19         0         0        0.6758366221       -0.5513644308        0.0000000000        0.0000000000        0.6758366221       -0.5513644308       -0.3507929570       -0.9557987617
         1        20         0         0       -1.5144598132       -0.0027083337        0.0000000000        0.0000000000       -1.5144598132       -0.0027083337       -0.8088372004       -1.6751915906
         1        21         0         0       -0.4813844150        0.5906498851        0.0000000000        0.0000000000       -0.4813844150        0.5906498851       -0.2265272366        0.2691145800
         1        22         0         0       -0.1281930368       -1.2784099247        0.0000000000        0.0000000000       -0.1281930368       -1.2784099247        0.3430111412       -1.2396326000
         1        23         0         0       -0.1509781316        0.2717693455        0.0000000000        0.0000000000       -0.1509781316        0.2717693455        0.2675287934        0.1663403566
         1        24         0         0       -0.3526736255        0.4074129272        0.0000000000        0.0000000000       -0.3526736255        0.4074129272        0.1314299665        0.8549194401
         1        25         0         0       -0.4877354163       -0.1676265623        0.0000000000        0.0000000000       -0.4877354163       -0.1676265623       -1.7585727380       -0.6647263006
         1        26         0         0       -0.0071390981        0.1951928696        0.0000000000        0.0000000000       -0.0071390981        0.1951928696        0.8182053707        0.0972826494
         1        27         0         0       -0.7892252056       -0.6161085834        0.0000000000        0.0000000000       -0.7892252056       -0.6161085834       -2.4606513981       -0.0941296756
         1        28         0         0        0.0549582050       -1.0490197060        0.0000000000        0.0000000000        0.0549582050       -1.0490197060       -0.3234617495       -1.2705946588
         1        29         0         0       -0.4114041924        0.9408425126        0.0000000000        0.0000000000       -0.4114041924        0.9408425126       -1.7659923394        0.7984341657
         1        30         0         0       -0.2109412748        0.1749304563        0.0000000000        0.0000000000       -0.2109412748        0.1749304563        0.5766933386       -0.7629872803
         1        31         0         0        0.9352020710        0.3066899261        0.0000000000        0.0000000000        0.9352020710        0.3066899261        2.3582728804        1.0722691920
         1        32         0         0       -0.5357338052       -0.0075069386        0.0000000000        0.0000000000       -0.5357338052       -0.0075069386       -1.3163951894       -0.4606666628
         1        33         0         0        0.0294555554        0.2168878859        0.0000000000        0.0000000000        0.0294555554        0.2168878859        0.2159751521        0.4916127448
         1        34         0         0        0.1762157169       -0.1431968946        0.0000000000        0.0000000000        0.1762157169       -0.1431968946        0.3317189526       -0.9433210461
         1        35         0         0        0.2753492802        0.0711962051        0.0000000000        0.0000000000        0.2753492802        0.0711962051       -0.6510311376        0.7312482679
         1        36         0         0        0.4595723442        0.0655983808        0.0000000000        0.0000000000        0.4595723442        0.0655983808       -0.4402717927       -0.1610043183
         1        37         0         0       -0.3821620760       -0.4064026783        0.0000000000        0.0000000000       -0.3821620760       -0.4064026783       -0.5054543520       -0.4439773808
         1        38         0         0        0.5395788597       -0.1896464672        0.0000000000        0.0000000000        0.5395788597       -0.1896464672        1.1922561720       -0.5575270387
         1        39         0         0        0.6031038535       -0.6886360395        0.0000000000        0.0000000000        0.6031038535       -0.6886360395        1.3545619719       -0.9193711996
         1        40         0         0       -0.9835813863       -0.2174891592        0.0000000000        0.0000000000       -0.9835813863       -0.2174891592       -0.0566138846       -0.3059326665
         1        41         0         0       -0.9876713228        0.7645495237        0.0000000000        0.0000000000       -0.9876713228        0.7645495237       -0.7155760487       -1.3246526180
         1        42         0         0       -0.2630963210        0.2312799606        0.0000000000        0.0000000000       -0.2630963210        0.2312799606       -2.5115517671        1.1394889570
         1        43         0         0       -0.0001712497       -0.3810909549        0.0000000000        0.0000000000       -0.0001712497       -0.3810909549       -1.4839395578       -0.0146364483
         1        44         0         0       -0.6458537221        0.1303950892        0.0000000000        0.0000000000       -0.6458537221        0.1303950892       -0.2482330231       -0.0765711470
         1        45         0         0       -0.3501490372       -0.1814871588        0.0000000000        0.0000000000       -0.3501490372       -0.1814871588       -0.4191261669       -0.8445773389
         1        46         0         0        0.7325509701        0.1643969024        0.0000000000        0.0000000000        0.7325509701        0.1643969024        0.9770723666        0.1047441689
         1        47         0         0        0.1488911867        0.8117291021        0.0000000000        0.0000000000        0.1488911867        0.8117291021        0.1756318089        1.5979555219
         1        48         0         0       -0.4765551542        1.1143755839        0.0000000000        0.0000000000       -0.4765551542        1.1143755839        0.3166270752        1.3677203753
         1        49         0         0       -0.1410808238       -0.0609338352        0.0000000000        0.0000000000       -0.1410808238       -0.0609338352        0.1525490699        0.1529405833
         1        50         0         0        0.3145553829       -0.0202846846        0.0000000000        0.0000000000        0.3145553829       -0.0202846846       -1.2071413633        0.0559452450
